key,zh,en,zh-hk,zh-tw,ja,ko,de,es,fr,ru,pt-br,it
loading,加载中...,Loading...,載入中...,載入中...,読み込み中...,로딩 중,Laden...,Cargando...,Chargement...,Загрузка...,Carregando...,Caricamento...
createVault,创建密码库,Create Your Vault,建立密碼庫,建立密碼庫,パスワード保管庫を作成,비밀번호 저장소 만들기,Passwort‑Tresor erstellen,Crear bóveda,Créer votre coffre‑fort,Создать хранилище паролей,Criar seu cofre,Crea il tuo deposito
welcomeBack,欢迎回来,Welcome Back,歡迎回來,歡迎回來,おかえりなさい,다음에 또 오세요,Willkommen zurück,Bienvenido de nuevo,Bon retour,С возвращением,Bem‑vindo de volta,Bentornato
setupDesc,设置一个强主密码来保护你的密码库。,Choose a strong master password to protect your vault.,設定高強度主密碼以保護你的密碼庫。,設定高強度主密碼來保護你的密碼庫。,保管庫を保護する強力なマスターパスワードを設定してください。,저장소를 보호할 강력한 마스터 비밀번호를 설정하세요.,Wählen Sie ein starkes Hauptpasswort zum Schutz Ihres Tresors.,Elige una contraseña maestra segura para proteger tu bóveda.,Choisissez un mot de passe principal robuste pour protéger votre coffre‑fort.,Выберите надежный главный пароль для защиты хранилища.,Escolha uma senha mestra forte para proteger seu cofre.,Scegli una password principale complessa per proteggere il deposito.
unlockDesc,输入主密码解锁。,Enter your master password to unlock.,輸入主密碼解鎖。,輸入主密碼解鎖。,マスターパスワードを入力してロックを解除します。,마스터 비밀번호를 입력하여 잠금을 해제하세요.,Geben Sie Ihr Hauptpasswort zur Freigabe ein.,Ingresa tu contraseña maestra para desbloquear.,Saisissez votre mot de passe principal pour déverrouiller.,Введите главный пароль для разблокировки.,Digite sua senha mestra para desbloquear.,Inserisci la password principale per sbloccare.
masterPassword,主密码,Master Password,主密碼,主密碼,マスターパスワード,마스터 비밀번호,Hauptpasswort,Contraseña maestra,Mot de passe principal,Главный пароль,Senha mestra,Password principale
confirmPassword,确认密码,Confirm Password,確認密碼,確認密碼,パスワード確認,비밀번호 확인,Passwort bestätigen,Confirmar contraseña,Confirmer le mot de passe,Подтвердите пароль,Confirmar senha,Conferma password
enterMasterPassword,输入主密码,Enter your master password,輸入主密碼,輸入主密碼,マスターパスワードを入力,마스터 비밀번호 입력하기,Ihr Hauptpasswort eingeben,Ingresa tu contraseña maestra,Saisissez votre mot de passe principal,Введите главный пароль,Digite sua senha mestra,Inserisci la tua password principale
confirmMasterPassword,再次输入主密码,Confirm your master password,再次輸入主密碼,再次輸入主密碼,マスターパスワードを再入力,마스터 비밀번호를 다시 입력하세요,Hauptpasswort erneut bestätigen,Vuelve a escribir tu contraseña maestra,Confirmez à nouveau votre mot de passe principal,Повторно введите главный пароль,Confirme sua senha mestra,Reinserisci la password principale
createVaultBtn,创建密码库,Create Vault,建立密碼庫,建立密碼庫,保管庫作成,저장소 만들기,Tresor erstellen,Crear bóveda,Créer le coffre‑fort,Создать хранилище,Criar cofre,Crea deposito
unlockBtn,解锁,Unlock,解鎖,解鎖,ロック解除,잠금 해제,Freigeben,Desbloquear,Déverrouiller,Разблокировать,Desbloquear,Sblocca
